HLRADDR,Number of SUBS,NSUBA,Country Name,Operator
4-421949901071,3,3,Slovakia,Telefonica O2
4-14054729357,2,2,United States,
4-447953700231,7,6,United Kingdom,EE
4-358508771122,6,4,Finland,Elisa
4-352061000220,9,7,Luxembourg,
4-358447981200,15,14,Finland,DNA
4-447953700219,2,2,United Kingdom,EE
4-97336019910,7,5,Bahrain,zain BH
4-14054729343,4,4,United States,
4-23170000042,2,1,Liberia,
4-19037029903,14,13,United States,
4-628964001091,8,5,Indonesia,Indosat Ooredoo Hutchison
4-3319120120436,5,4,France,
4-201059968202,12,9,Egypt,Vodafone
4-447953700252,2,2,United Kingdom,EE
4-8613629510000,2,2,China,China Mobile
4-33191443850196,11,10,France,
4-491700600153,4,4,Germany,T-Mobile
4-12085978677,6,6,United States,
4-4531307401,8,5,Denmark,3
4-48601000297,5,1,Poland,Plus
4-819066519778,3,3,Japan,Softbank
4-201059968204,5,3,Egypt,Vodafone
4-436760182224,3,1,Austria,T-Mobile AT
4-491700600309,1,1,Germany,T-Mobile
4-37069899885,15,10,Lithuania,Telia
4-233277500820,4,4,Ghana,airteltiGO
4-14054729197,4,3,United States,
4-33191485010395,21,19,France,
4-79222900242,2,2,Russian Federation,MegaFon
4-447953700255,5,5,United Kingdom,EE
4-84900100,3,1,Viet Nam,
4-919815053740,6,3,India,Airtel
4-447953700235,8,8,United Kingdom,EE
4-14054729322,5,5,United States,
4-33191393490323,22,18,France,
4-31653099532,24,18,Netherlands,KPN
4-491760003012,18,15,Germany,
4-79202906865,1,1,Russian Federation,MegaFon
4-3319120120447,8,8,France,
4-33191905420158,1,1,France,
4-14054729338,2,2,United States,
4-14054729326,3,3,United States,
4-3725098027,4,4,Estonia,Telia Eesti AS
4-201059968083,11,8,Egypt,Vodafone
4-13123149270,3,2,United States,
4-886973848920,1,1,"Taiwan, Province of China",T Star
4-33191905420170,2,1,France,
4-33191353870031,2,2,France,
4-919820005392136,2,1,India,
4-491700600137,5,3,Germany,T-Mobile
4-46705003204,4,4,Sweden,TeliaSonera
4-37256100200,2,2,Estonia,Elisa
4-14047259037,3,3,United States,
4-14054729355,3,2,United States,
4-61415011028,1,1,Australia,Vodafone
4-331911514420022,15,13,France,
4-14054729362,4,4,United States,
4-8613426340000,1,1,China,China Mobile
4-819066519752,1,1,Japan,Softbank
4-639180008985,1,0,Philippines,Smart
4-201059968081,12,11,Egypt,Vodafone
4-491700600152,2,0,Germany,T-Mobile
4-8619547670000,1,1,China,China Mobile
4-33191491720125,4,4,France,
4-447488200537,9,9,United Kingdom,Sky
4-8618405110000,1,1,China,China Mobile
4-8190542113892,1,1,Japan,
4-491700600107,3,3,Germany,T-Mobile
4-639180008993,6,4,Philippines,Smart
4-331914219050053,4,4,France,
4-33609009908,56,48,France,SFR
4-989200000102,1,1,"Iran, Islamic Republic of",Rightel
4-639180008989,1,0,Philippines,Smart
4-861476742000,3,3,China,
4-33191316540267,2,2,France,
4-8613524540000,1,1,China,China Mobile
4-639180009005,7,2,Philippines,Smart
4-41794992015,61,48,Switzerland,Swisscom
4-491700600125,5,4,Germany,T-Mobile
4-38977000270,4,4,North Macedonia,A1
4-962788990023,3,3,Jordan,Umniah
4-14054729192,3,3,United States,
4-16363848769,4,3,United States,
4-491700600158,4,4,Germany,T-Mobile
4-421949901074,1,1,Slovakia,Telefonica O2
4-324750004161022,5,4,Belgium,
4-19039326968,2,2,United States,
4-33191905420184,1,1,France,
4-56982999055,1,1,Chile,Entel
4-34609091004,5,5,Spain,Movistar
4-8613741900000,1,1,China,China Mobile
4-447782000119,4,3,United Kingdom,Three
4-491700600308,1,1,Germany,T-Mobile
4-46707000233,50,47,Sweden,Tele2 Sverige
4-201059968203,8,7,Egypt,Vodafone
4-491700600118,4,3,Germany,T-Mobile
4-201059968071,11,10,Egypt,Vodafone
4-324750007324306,11,11,Belgium,
4-3725098026,4,3,Estonia,Telia Eesti AS
4-14054729312,7,7,United States,
4-639180008988,3,2,Philippines,Smart
4-33689008255,5,4,France,Orange France
4-33609009913,50,43,France,SFR
4-30971460009,3,2,Greece,
4-14054729361,2,2,United States,
4-550101102093,3,3,Brazil,
4-14054729341,3,3,United States,
4-19039326946,1,1,United States,
4-447802000257,5,5,United Kingdom,O2
4-33191905420187,3,2,France,
4-491700600136,2,2,Germany,T-Mobile
4-352600000001001,1,1,Luxembourg,
4-4528133313,2,1,Denmark,telia
4-491700600147,3,3,Germany,T-Mobile
4-48601000065,5,4,Poland,Plus
4-99599599912,2,1,Georgia,
4-421949901072,2,2,Slovakia,Telefonica O2
4-393358840738179,8,4,Country not found,Operator not found
4-3319120120471,5,3,France,
4-14054729225,4,4,United States,
4-33191346560153,8,8,France,
4-861316047405,1,1,China,
4-919845286068,8,8,India,Airtel
4-447953700242,7,5,United Kingdom,EE
4-33689002884,1,1,France,Orange France
4-447782000221,2,2,United Kingdom,Three
4-639180008991,5,2,Philippines,Smart
4-639180009003,1,1,Philippines,Smart
4-14054729196,5,5,United States,
4-33191393490281,6,4,France,
4-12404492441,7,7,United States,
4-491760007032,4,0,Germany,
4-358402001002,4,4,Finland,Telia
4-14054729199,2,2,United States,
4-8613441754,1,1,China,
4-550066102009,1,1,Brazil,
4-33191485010437,4,4,France,
4-8613344181000,11,11,China,China Telecom
4-447782000231,2,2,United Kingdom,Three
4-33191351910061,10,10,France,
4-14054729216,2,2,United States,
4-79639741154,1,1,Russian Federation,Beeline
4-19039326986,2,1,United States,
4-447953700221,1,0,United Kingdom,EE
4-491700600150,3,2,Germany,T-Mobile
4-491700600105,4,4,Germany,T-Mobile
4-491760003011,14,12,Germany,
4-14054729228,3,2,United States,
4-324750007315415,1,1,Belgium,
4-919810051031,5,4,India,Airtel
4-33191232760008,5,2,France,
4-421903002024,2,2,Slovakia,T-Mobile (Slovak Telekom)
4-19703769838,1,1,United States,
4-393358840763002,1,1,Country not found,Operator not found
4-639180008992,3,1,Philippines,Smart
4-14054729367,3,3,United States,
4-16363848773,3,3,United States,
4-4540699710,13,10,Denmark,telenor
4-261340010207,2,2,Madagascar,Telma
4-639180009007,3,0,Philippines,Smart
4-550027102006,1,1,Brazil,
4-8613512140000,3,3,China,China Mobile
4-447802000251,1,1,United Kingdom,O2
4-989350070320,4,4,"Iran, Islamic Republic of",Irancell
4-436990071295,3,3,Austria,Orange AT
4-33689008195,3,2,France,Orange France
4-8618516404514,1,1,China,China Unicom
4-48601000066,10,8,Poland,Plus
4-351960990075,1,1,Portugal,MEO
4-48601000068,4,4,Poland,Plus
4-491760003008,12,11,Germany,
4-33191443850195,5,4,France,
4-14054729226,2,2,United States,
4-8618516404525,1,1,China,China Unicom
4-38163100301,7,7,Serbia,Telenor
4-3319160160030,5,5,France,
4-79167494122,1,1,Russian Federation,
4-3319120120411,4,4,France,
4-491700600130,4,2,Germany,T-Mobile
4-14382760061,1,1,Canada,
4-351960995062,3,3,Portugal,MEO
4-436990071206,7,7,Austria,Orange AT
4-639180009017,5,4,Philippines,Smart
4-79101399984,3,3,Russian Federation,
4-14054729235,3,3,United States,
4-12085978679,5,4,United States,
4-14054729342,6,5,United States,
4-79167494175,1,1,Russian Federation,
4-33191905420157,3,1,France,
4-491700600143,5,5,Germany,T-Mobile
4-491760003263,1,1,Germany,
4-6281107162,1,1,Indonesia,
4-62816081412,4,4,Indonesia,Indosat Ooredoo Hutchison
4-19039326976,2,2,United States,
4-491700600149,2,2,Germany,T-Mobile
4-79772539033,3,3,Russian Federation,Tele2
4-19039326975,1,1,United States,
4-38765500033,3,2,Bosnia and Herzegovina,m:tel
4-352061000230,6,5,Luxembourg,
4-491700600109,7,7,Germany,T-Mobile
4-639180009020,4,2,Philippines,Smart
4-8618445190000,1,1,China,China Mobile
4-447782000249,1,1,United Kingdom,Three
4-4367603031000,5,5,Austria,T-Mobile AT
4-14054729336,3,2,United States,
4-3319127820105,1,1,France,
4-8190542113900,1,1,Japan,
4-491700600129,6,6,Germany,T-Mobile
4-14054729233,5,4,United States,
4-861556508428,1,1,China,
4-491700600317,2,1,Germany,T-Mobile
4-861958457000,1,1,China,
4-420733087400,4,4,Czechia,T-Mobile
4-331912547700002,2,2,France,
4-447802000250,3,3,United Kingdom,O2
4-30971460017,3,2,Greece,
4-916289015348,2,2,India,Reliance Jio
4-14054729330,3,2,United States,
4-16363848768,3,2,United States,
4-33695000390,1,1,France,Free Mobile
4-447802000255,6,4,United Kingdom,O2
4-33191393490273,11,11,France,
4-79025879015,2,2,Russian Federation,Tele2
4-79639741151,1,1,Russian Federation,Beeline
4-19039326941,1,1,United States,
4-33191485010109,27,24,France,
4-491700600102,4,4,Germany,T-Mobile
4-13123149273,1,1,United States,
4-491700600142,2,2,Germany,T-Mobile
4-491700600132,5,5,Germany,T-Mobile
4-4367603035000,3,2,Austria,T-Mobile AT
4-447782000226,3,1,United Kingdom,Three
4-639180008987,2,0,Philippines,Smart
4-447802002738,9,9,United Kingdom,O2
4-2348020004555,2,1,Nigeria,Airtel
4-61415011021,2,2,Australia,Vodafone
4-3859812010,2,2,Croatia,
4-447782000244,1,0,United Kingdom,Three
4-158758001250,1,1,Country not found,Operator not found
4-919820005392053,2,2,India,
4-491700600133,3,3,Germany,T-Mobile
4-3859812011,3,3,Croatia,
4-16363848775,2,1,United States,
4-447802000248,5,5,United Kingdom,O2
4-919937029131,1,1,India,Airtel
4-355680200025,3,3,Albania,
4-9779800000054,1,0,Nepal,NCell
4-8615905380000,1,1,China,China Mobile
4-882285000001100,1,0,Country not found,
4-48601000063,2,2,Poland,Plus
4-8614796670000,1,1,China,China Mobile
4-240556000410,1,0,Equatorial Guinea,Muni
4-14054729221,7,7,United States,
4-14054729218,3,3,United States,
4-96475209002135,2,1,Iraq,
4-14054729207,4,4,United States,
4-33191230250019,2,2,France,
4-861562611000,1,0,China,
4-447782000112,3,1,United Kingdom,Three
4-447797707075,4,0,Jersey,JT
4-8614741040000,2,2,China,China Mobile
4-639180009006,4,1,Philippines,Smart
4-14054729217,5,4,United States,
4-14054729236,3,2,United States,
4-324750004055603,5,4,Belgium,
4-639180008994,3,1,Philippines,Smart
4-33191905420265,1,1,France,
4-96895001059,1,1,Oman,Ooredoo
4-989110006,2,2,"Iran, Islamic Republic of",
4-25377890008,1,0,Djibouti,Evatis
4-19039326982,2,2,United States,
4-19039326944,2,1,United States,
4-447782000117,1,0,United Kingdom,Three
4-447782000111,2,1,United Kingdom,Three
4-861960341474,1,1,China,
4-33191485010200,1,1,France,
4-447953700258,4,4,United Kingdom,EE
4-550112102068,2,2,Brazil,
4-491700600119,3,3,Germany,T-Mobile
4-819066519754,1,1,Japan,Softbank
4-8619816540000,3,2,China,China Mobile
4-201059968074,7,7,Egypt,Vodafone
4-358508771121,8,8,Finland,Elisa
4-336110000179234,1,0,France,
4-14054729316,2,1,United States,
4-393358911007,5,3,Italy,TIM
4-14054729208,6,6,United States,
4-436760172100,1,0,Austria,T-Mobile AT
4-14054729313,1,1,United States,
4-8613564840000,4,4,China,China Mobile
4-639180009014,4,3,Philippines,Smart
4-61415011017,1,1,Australia,Vodafone
4-8190542114861,1,0,Japan,
4-19039326955,1,0,United States,
4-79167494228,2,2,Russian Federation,
4-14054729315,7,7,United States,
4-861309057601,1,1,China,
4-254722500119,2,2,Kenya,Safaricom
4-33191905420188,2,1,France,
4-79101399982,4,4,Russian Federation,
4-79167494226,3,3,Russian Federation,
4-21650000056,1,1,Tunisia,Orange
4-491700600311,2,2,Germany,T-Mobile
4-14054729219,3,2,United States,
4-491700600115,3,3,Germany,T-Mobile
4-447953700244,5,3,United Kingdom,EE
4-447802000225,1,1,United Kingdom,O2
4-96475209001935,1,1,Iraq,
4-33191905420192,2,2,France,
4-33191905420150,1,1,France,
4-46707000300,1,1,Sweden,Tele2 Sverige
4-16363848770,2,1,United States,
4-882285000001101,3,0,Country not found,
4-8190542114862,1,1,Japan,
4-447953700226,6,5,United Kingdom,EE
4-14054729314,1,1,United States,
4-491700600314,2,2,Germany,T-Mobile
4-491700600103,3,2,Germany,T-Mobile
4-8618402400000,2,2,China,China Mobile
4-8613759610000,3,3,China,China Mobile
4-639180008990,4,2,Philippines,Smart
4-491700600148,7,7,Germany,T-Mobile
4-447782000241,2,2,United Kingdom,Three
4-447782000248,2,2,United Kingdom,Three
4-387630000070,2,2,Bosnia and Herzegovina,
4-861304765000,1,0,China,
4-861300013102,1,1,China,
4-861564450907,1,1,China,
4-33689008162,2,2,France,Orange France
4-919026786493,3,3,India,Reliance Jio
4-62816081124,3,2,Indonesia,Indosat Ooredoo Hutchison
4-33191354770011,3,3,France,
4-40766000110,2,2,Romania,Telekom
4-252610000073,1,0,Somalia,Hormuud
4-447802000249,4,4,United Kingdom,O2
4-8615100740000,1,1,China,China Mobile
4-13603399694,1,0,United States,
4-919825301036,2,1,India,Vodafone
4-3319127820076,1,1,France,
4-358402001003,5,5,Finland,Telia
4-4528132000,1,0,Denmark,telia
4-3319136700040,2,2,France,
4-8614784620000,2,2,China,China Mobile
4-33689002875,1,1,France,Orange France
4-861476743000,3,1,China,
4-19039326971,1,1,United States,
4-491700600112,3,3,Germany,T-Mobile
4-447782000247,2,1,United Kingdom,Three
4-254722500116,4,3,Kenya,Safaricom
4-79529480186,1,1,Russian Federation,Tele2
4-14054729209,2,2,United States,
4-33689008090,1,1,France,Orange France
4-38163100302,1,1,Serbia,Telenor
4-359898000116,2,2,Bulgaria,Telenor
4-33689008881,1,1,France,Orange France
4-447802002265,3,3,United Kingdom,O2
4-38349009223,2,2,Country not found,IPKO
4-33191233200027,1,1,France,
4-919898092806,6,4,India,Airtel
4-19039326993,1,1,United States,
4-19039326951,1,1,United States,
4-33191485010443,1,1,France,
4-8613605320000,1,0,China,China Mobile
4-8614794030000,1,1,China,China Mobile
4-19037029973,1,1,United States,
4-4367603032000,2,2,Austria,T-Mobile AT
4-8190542116893,1,1,Japan,
4-62816081127,2,2,Indonesia,Indosat Ooredoo Hutchison
4-14047259036,1,1,United States,
4-13603399685,1,1,United States,
4-254722500121,3,3,Kenya,Safaricom
4-19039326949,1,1,United States,
4-2203005283,3,3,Gambia,QCell
4-33191689890009,1,1,France,
4-8618450900000,1,1,China,China Mobile
4-447782000243,1,1,United Kingdom,Three
4-12404492436,6,6,United States,
4-218919121253,2,0,Libya,Al-Madar
4-861527890204,1,1,China,
4-33689008433,1,1,France,Orange France
4-8615797420000,1,1,China,China Mobile
4-491700600312,2,2,Germany,T-Mobile
4-19039326947,1,1,United States,
4-447953700224,7,6,United Kingdom,EE
4-491700600307,1,0,Germany,T-Mobile
4-639180009011,2,1,Philippines,Smart
4-336110000331418,1,1,France,
4-4528133315,1,1,Denmark,telia
4-861565440000,1,1,China,
4-882285000001102,1,0,Country not found,
4-38641003602,1,1,Slovenia,Telekom Slovenije
4-4237902626,2,2,Liechtenstein,Telecom Liechtenstein
4-19039326985,2,1,United States,
4-8614778640000,1,1,China,China Mobile
4-5025205280165,1,1,Guatemala,
4-33191316540275,1,1,France,
4-639180009009,1,1,Philippines,Smart
4-447953700218,2,2,United Kingdom,EE
4-33191905420145,1,1,France,
4-861309089201,1,1,China,
4-14054729229,2,2,United States,
4-66923016521,1,0,Thailand,AIS
4-8618482440000,1,1,China,China Mobile
4-3319127820077,1,1,France,
4-33191905420146,1,1,France,
4-19039326984,1,1,United States,
4-19039326948,2,2,United States,
4-14054729204,3,2,United States,
4-33191905420289,1,1,France,
4-8614773350000,1,1,China,China Mobile
4-33689008888,4,4,France,Orange France
4-33191972560027,1,1,France,
4-33191245960009,5,2,France,
4-4915790100006,1,1,Germany,Eplus/Sipgate
4-8613605370000,1,0,China,China Mobile
4-33191905420186,2,1,France,
4-421903002025,1,1,Slovakia,T-Mobile (Slovak Telekom)
4-66942500005,1,1,Thailand,DTAC
4-16363848772,2,2,United States,
4-8615728340000,1,1,China,China Mobile
4-12085978681,2,2,United States,
4-8613405350000,1,1,China,China Mobile
4-35796967004,1,1,Cyprus,MTN
4-3319127820110,1,1,France,
4-336110000312102,2,2,France,
4-66830032010,1,1,Thailand,True Move
4-491700600315,3,2,Germany,T-Mobile
4-79529480180,1,0,Russian Federation,Tele2
4-33191905420282,1,1,France,
4-33191905420283,1,1,France,
4-447782000114,1,1,United Kingdom,Three
4-61415011030,1,0,Australia,Vodafone
4-447802000259,2,2,United Kingdom,O2
4-8615294870000,1,1,China,China Mobile
4-8613439520000,1,1,China,China Mobile
4-3319127820069,1,0,France,
4-917011075029,1,1,India,Reliance Jio
4-19039326983,1,1,United States,
4-9477000196,1,1,Sri Lanka,
4-3319127820123,1,1,France,
4-66923014522,1,1,Thailand,AIS
4-375259092009,1,0,Belarus,life:)
4-550101102055,2,2,Brazil,
4-96394107400,1,0,Syrian Arab Republic,
4-8614700030000,1,1,China,China Mobile
4-8613912180000,1,1,China,China Mobile
4-46723900010,1,1,Sweden,Telenor Sverige
4-861854918000,1,1,China,
4-8615102140000,1,1,China,China Mobile
4-79167494188,1,1,Russian Federation,
4-79167494106,1,1,Russian Federation,
4-79139860002,1,1,Russian Federation,
4-3319112420011,1,1,France,
4-85290184006,1,1,Hong Kong,SmarTone
4-4528133318,1,1,Denmark,telia
4-33191485010125,1,1,France,
4-447782000233,1,1,United Kingdom,Three
4-447782000245,1,1,United Kingdom,Three
4-33191687770018,2,2,France,
4-959790000057,3,2,Myanmar,Telenor
4-8614778740000,1,1,China,China Mobile
4-61415011019,1,1,Australia,Vodafone
4-8190542114894,1,1,Japan,
4-79167494221,1,1,Russian Federation,
4-97455589714,1,1,Qatar,ooredoo
4-447782000222,1,1,United Kingdom,Three
4-33689002873,1,1,France,Orange France
4-861837869643,1,1,China,
4-79167494227,1,1,Russian Federation,
4-32475002547,1,1,Belgium,Proximus
4-19037029967,1,1,United States,
4-8614709420000,1,1,China,China Mobile
4-4367603034000,1,0,Austria,T-Mobile AT
4-54079000030,1,1,Argentina,
4-491700600120,2,2,Germany,T-Mobile
4-8190542115860,1,1,Japan,
4-61415011015,2,1,Australia,Vodafone
4-3725509930,1,1,Estonia,Tele 2
4-324750004160404,2,0,Belgium,
4-13123149272,2,2,United States,
4-33191316540123,2,2,France,
4-8613400060000,1,1,China,China Mobile
4-19039326973,1,1,United States,
4-861325477829,1,1,China,
4-33689008931,1,1,France,Orange France
4-917016075020,1,1,India,Reliance Jio
4-33695000380,1,1,France,Free Mobile
4-32475002531,1,1,Belgium,Proximus
4-861958454000,1,0,China,
4-8190542116900,1,1,Japan,
4-37379499110,1,1,"Moldova, Republic of",Moldcell
4-8613611310000,1,1,China,China Mobile
4-316540791020,1,1,Netherlands,
4-46705003208,1,1,Sweden,TeliaSonera
4-5995219507,1,1,Country not found,Operator not found
4-14054729240,1,1,United States,
4-324750004152919,1,1,Belgium,
4-8618516404520,1,1,China,China Unicom
4-919021019361,2,2,India,Reliance Jio
4-491700600313,1,1,Germany,T-Mobile
4-447782000224,1,1,United Kingdom,Three
4-33191905420194,2,2,France,
4-33689002881,1,1,France,Orange France
4-33689008062,1,0,France,Orange France
4-21650000054,1,1,Tunisia,Orange
4-8613663040000,1,1,China,China Mobile
4-8190542117862,1,1,Japan,
4-447782000118,1,0,United Kingdom,Three
4-19039326994,1,1,United States,
4-550064802007,1,1,Brazil,
4-66923013502,1,1,Thailand,AIS
4-436760182225,1,0,Austria,T-Mobile AT
4-19039326963,1,1,United States,
4-491760003161,1,1,Germany,
4-331918180931026,1,0,France,
4-550101102054,1,1,Brazil,
